stage,entity_type,entity_id,sport,status,attempts,available_at,updated_at,last_error,input_version,running_input_version,claim_token,hold_until
rating,player,4,NBA,pending,0,2026-09-20 03:00:01.186484-04,2026-09-20 03:00:01.186484-04,,rating:s2025:05cf38b72b42b539742cf003c43091a6,,,2026-09-27 09:33:48.526364-04
rating,player,8,NBA,pending,0,2026-09-20 03:00:01.205879-04,2026-09-20 03:00:01.205879-04,,rating:s2025:6d8c2753aa48a5d55fcd8a2d2aadb859,,,2026-09-27 09:33:48.526364-04
rating,player,9,NBA,pending,0,2026-09-20 03:00:01.222961-04,2026-09-20 03:00:01.222961-04,,rating:s2025:3b443b495a1e9bce108b0aa6b5beb6b5,,,2026-09-27 09:33:48.526364-04
rating,player,18,NBA,pending,0,2026-09-20 03:00:01.25562-04,2026-09-20 03:00:01.25562-04,,rating:s2025:a8a7874fe777b7ec6c447310428a2431,,,2026-09-27 09:33:48.526364-04
rating,player,22,NBA,pending,0,2026-09-20 03:00:01.268938-04,2026-09-20 03:00:01.268938-04,,rating:s2025:8f9419929e4fce374a07d1ff230d826e,,,2026-09-27 09:33:48.526364-04
rating,player,11,NFL,pending,0,2026-09-20 02:24:29.65644-04,2026-09-20 08:16:14.590281-04,,rating:s2026:c003657fdc82c2c4c3baf1fe57312c9d,,,2026-09-27 09:33:48.526364-04
rating,player,12,NFL,pending,0,2026-09-20 03:00:04.274045-04,2026-09-20 03:00:04.274045-04,,rating:s2026:a49d07c45db5ac8ca8662360504cbe2f,,,2026-09-27 09:33:48.526364-04
rating,player,13,NFL,pending,0,2026-09-20 03:00:04.297023-04,2026-09-20 08:16:14.619143-04,,rating:s2026:024e8ca9cf9eaeb71cf05954efc3b3fa,,,2026-09-27 09:33:48.526364-04
rating,player,14,NFL,pending,0,2026-09-20 03:00:04.30892-04,2026-09-20 08:16:14.636994-04,,rating:s2026:c711c491e7c8b13c8cec432c430e00b3,,,2026-09-27 09:33:48.526364-04
rating,player,17,NFL,pending,0,2026-09-20 03:00:04.323839-04,2026-09-20 03:00:04.323839-04,,rating:s2026:17b493c705ff7e6031ba9188a3c5a349,,,2026-09-27 09:33:48.526364-04
rating,player,38,FOOTBALL,pending,0,2026-09-20 03:56:33.442555-04,2026-09-20 03:56:33.442555-04,,pk:777c179aee5c60ad22ef2db57ca1b3ab,,,2026-09-27 09:33:48.526364-04
rating,player,268,FOOTBALL,pending,0,2026-09-20 07:40:41.574072-04,2026-09-20 07:40:41.574072-04,,pk:5dcb53fc52e1ab1d5ca065bf23823689,,,2026-09-27 09:33:48.526364-04
rating,player,323,FOOTBALL,pending,0,2026-09-20 03:14:31.676798-04,2026-09-20 08:52:31.345288-04,,pk:383cb89347bd2bbc857ba908a4cb6ad8,,,2026-09-27 09:33:48.526364-04
rating,player,390,FOOTBALL,pending,0,2026-09-20 03:56:33.442555-04,2026-09-20 03:56:33.442555-04,,pk:777c179aee5c60ad22ef2db57ca1b3ab,,,2026-09-27 09:33:48.526364-04
rating,player,510,FOOTBALL,pending,0,2026-09-20 03:56:33.442555-04,2026-09-20 03:56:33.442555-04,,pk:777c179aee5c60ad22ef2db57ca1b3ab,,,2026-09-27 09:33:48.526364-04
